City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,bafq,31.6128,55.4107,37.39,11,0,8.18,Bāfq,1688653002
162,east london,-33.0153,27.9116,17.52,63,0,4.12,East London,1688652890
163,alofi,-19.0595,-169.9187,20.94,100,100,1.54,Alofi,1688653002
164,saudarkrokur,65.7461,-19.6394,10.31,75,90,3.35,Sauðarkrokur,1688653002
165,port mathurin,-19.6833,63.4167,24.08,67,33,8.25,Port Mathurin,1688653003
166,tromso,69.6496,18.957,14.01,72,40,2.57,Tromsø,1688653003
167,villa gesell,-37.2639,-56.973,13.36,61,100,2.87,Villa Gesell,1688653003
168,copiapo,-27.3667,-70.3333,10.83,23,48,1.05,Copiapó,1688653004
169,bubaque,11.2833,-15.8333,28.01,78,59,3.82,Bubaque,1688653004
170,zabaykal'sk,49.6333,117.3167,16.89,79,100,6.34,Zabaykal'sk,1688653004
171,vila velha,-20.3297,-40.2925,24.97,74,20,3.6,Vila Velha,1688653005
172,dalbandin,28.8947,64.4101,39.34,6,0,7.64,Dalbandin,1688653005
173,atafu village,-8.5421,-172.5159,28.5,76,16,7.2,Atafu Village,1688653005
174,caiaponia,-16.9567,-51.8103,25.85,27,2,4.55,Caiapônia,1688653006
175,hastings,50.8552,0.5729,21.89,21,13,5.63,Hastings,1688652968
176,tripoli,32.8752,13.1875,30.29,45,0,4.9,Tripoli,1688653006
177,watertown,42.3709,-71.1828,32.3,69,0,3.09,Watertown,1688653006
178,island harbour,50.724,-1.2758,20.82,70,61,1.34,Island Harbour,1688653007
179,hotan,37.0997,79.9269,29.64,21,97,0.88,Hotan,1688652859
180,novyy turtkul',41.55,61.0167,35.95,15,25,8.02,Novyy Turtkul',1688652856
181,kermit,31.8576,-103.0927,26.14,65,2,7.45,Kermit,1688653008
182,mao,39.8885,4.2658,29.31,45,0,4.63,Mahon,1688653008
183,thunder bay,48.4001,-89.3168,16.99,55,20,4.63,Thunder Bay,1688653008
184,lompoc,34.6391,-120.4579,14.73,89,100,2.57,Lompoc,1688653008
185,vila franca do campo,37.7167,-25.4333,22.23,67,48,4.86,Vila Franca do Campo,1688653009
186,road town,18.4167,-64.6167,30.02,70,40,5.14,Road Town,1688653009
187,atherton,53.5237,-2.4935,21.14,57,92,2.24,Atherton,1688652733
188,lensk,60.7253,114.9278,17.88,91,100,1.36,Lensk,1688652856
189,vrangel',42.7297,133.0839,16.13,95,11,4.29,Vrangel',1688653010
190,tralee,52.2704,-9.7026,18.14,88,100,8.23,Tralee,1688653010
191,anadyr,64.75,177.4833,9.28,87,75,3.0,Anadyr,1688653011
192,tuni,17.35,82.55,27.48,84,100,5.28,Tuni,1688652974
193,lihue,21.9789,-159.3672,25.77,82,100,6.69,Lihue,1688653011
194,berezovyy,51.6667,135.7,16.38,88,100,0.98,Berezovyy,1688653011
195,puerto leguizamo,-0.1934,-74.7819,24.32,90,89,1.12,Caucayá,1688653012
196,udachny,66.4167,112.4,21.36,52,100,5.04,Udachny,1688653012
197,hami,42.8,93.45,32.66,15,27,3.67,Kumul,1688652951
198,kavieng,-2.5744,150.7967,27.18,82,100,3.88,Kavieng,1688653012
199,broome,42.2506,-75.833,29.33,70,0,3.6,Broome,1688653013
200,ierapetra,35.01,25.7353,28.51,61,0,2.37,Ierapetra,1688653013
201,mount isa,-20.7333,139.5,12.87,88,27,1.54,Mount Isa,1688653013
202,port augusta,-32.5,137.7667,9.33,82,3,3.41,Port Augusta,1688653014
203,hadibu,12.65,54.0333,27.13,66,83,10.88,Hadibu,1688653014
204,manali,13.1667,80.2667,32.26,68,100,6.48,Manali,1688652546
205,callao,-12.0667,-77.15,21.51,78,100,3.6,Callao,1688653014
